#Background,#Icon,#NumberText,#CardText
background/front-white.png,,,Um bando de Vikings.
background/front-white.png,,,Uma torradeira japonesa que se pode foder.
background/front-white.png,,,Uma vida intera de tristeza.
background/front-white.png,,,Um moleque que enche o saco falando sobre disnossauros.
background/front-white.png,,,Um baixo padrão de vida.
background/front-white.png,,,Um homem de legging, de rabo de cavalo e brincos de penas.
background/front-white.png,,,Um homem prestes a gozar.
background/front-white.png,,,Um micropênis.
background/front-white.png,,,Um microporco vestindo uma pequena capa de chuva e botas.
background/front-white.png,,,Um homem de meia idade em patins.
background/front-white.png,,,Um mímico tendo um derrame.
background/front-white.png,,,Um macaco fumando um charuto.
background/front-white.png,,,Uma mulher muito mais nova.
background/front-white.png,,,Uma piñata cheia de escorpiões.
background/front-white.png,,,Uma apresentação PowerPoint.
background/front-white.png,,,Uma pirâmide de cabeças decepadas.
background/front-white.png,,,Um chapéu muito legal.
background/front-white.png,,,Um dragão gordo, triste, e sem amigos.
background/front-white.png,,,Uma triste punheta.
background/front-white.png,,,Uma gozada surpresa.
background/front-white.png,,,Um solo de saxofone.
background/front-white.png,,,Um mar de problemas.
background/front-white.png,,,Um universo paralelo um pouco mais merda.
background/front-white.png,,,Uma tartaruga mordendo a ponta do seu pinto.
background/front-white.png,,,Um pentelho de um estranho na privada.
background/front-white.png,,,Uma quantidade surpreendente de cabelo.
background/front-white.png,,,Uma bela nave.
background/front-white.png,,,Uma detonação termonuclear.
background/front-white.png,,,Um paradoxo da viagem no tempo.
background/front-white.png,,,Um cavalo minúsculo.
background/front-white.png,,,Um violão pequeno e gay chamado ukulele.
background/front-white.png,,,Uma buceta que leva a outra dimensão.
background/front-white.png,,,Uma mentira atrás da outra.
background/front-white.png,,,Um moinho cheio de cadáveres.
background/front-white.png,,,Aceitar como as coisas são.
background/front-white.png,,,Levando bala, sério.
background/front-white.png,,,Crianças africanas.
background/front-white.png,,,Agricultura.
background/front-white.png,,,AIDS.
background/front-white.png,,,Alcoolismo.
background/front-white.png,,,Todos meus amigos morrerem.
background/front-white.png,,,Todo esse sangue.
background/front-white.png,,,Todos os caras com quem transei.
background/front-white.png,,,Americanização.
background/front-white.png,,,Amputados.
background/front-white.png,,,Uma AK-47.
background/front-white.png,,,Um exército de esqueletos.
background/front-white.png,,,Um desastre anal.
background/front-white.png,,,Um fluxo interminável de diarréia.
background/front-white.png,,,Uma ereção que dura mais de quatro horas.
background/front-white.png,,,O diabo encarnado.
background/front-white.png,,,Um polvo batendo punheta para sete e fumando um cigarro.
background/front-white.png,,,O complexo de Édipo.
background/front-white.png,,,Um cara velho que está quase morto.
background/front-white.png,,,Uma mulher mais velha que conhece bem uma rola.
background/front-white.png,,,Um pirulito muito grande.
background/front-white.png,,,Uma chuva de Formigas-de-fogo.
background/front-white.png,,,Uma gravidez indesejada.
background/front-white.png,,,Dizer que eu estou quase gozando.
background/front-white.png,,,Outra dose de morfina.
background/front-white.png,,,Arnold Schwarzenegger.
background/front-white.png,,,Autocanibalismo.
background/front-white.png,,,Desodorante AXE.
background/front-white.png,,,Bolas.
background/front-white.png,,,Bananas.
background/front-white.png,,,Barack Obama.
background/front-white.png,,,Decência humana básica.
background/front-white.png,,,BATMAN!
background/front-white.png,,,Tornar-se um mirtilo.
background/front-white.png,,,Abelhas?
background/front-white.png,,,Ser um adulto ocupado com muitas coisas importantes para fazer.
background/front-white.png,,,Ser um cuzão com as crianças.
background/front-white.png,,,Ser um dinossauro.
background/front-white.png,,,Ser um animal horrível que ninguém poderia amar.
background/front-white.png,,,Ser um feiticeiro maldito.
background/front-white.png,,,Ser uma mulher.
background/front-white.png,,,Ser capaz de falar com elefantes.
background/front-white.png,,,Ser muito bom de cama.
background/front-white.png,,,Ser preto.
background/front-white.png,,,Ser fabuloso.
background/front-white.png,,,Ser gordo e estúpido.
background/front-white.png,,,Estar arrasando.
background/front-white.png,,,Ser rico.
background/front-white.png,,,Ser branco.
background/front-white.png,,,Bissexualidade.
background/front-white.png,,,Putas.
background/front-white.png,,,Peidos de sangue.
background/front-white.png,,,Chupar meu namorado tão forte que ele se caga.
background/front-white.png,,,Criadores de galinhas da Bósnia.
background/front-white.png,,,Começar a cantar e dançar.
background/front-white.png,,,Porra nenhuma.
background/front-white.png,,,Comprar roupas da moda para ser legal.
background/front-white.png,,,Cards Against Humanity.
background/front-white.png,,,Casualmente sugerir um ménage à trois.
background/front-white.png,,,Catapultas.
background/front-white.png,,,Centauros.
background/front-white.png,,,Motosserra no lugar das mãos.
background/front-white.png,,,Armas químicas.
background/front-white.png,,,Abuso infantil.
background/front-white.png,,,Crianças em coleiras.
background/front-white.png,,,Pedaços de um mochileiro morto.
background/front-white.png,,,Pinto.
background/front-white.png,,,Esconder uma ereção.
background/front-white.png,,,Sexo consensual.
background/front-white.png,,,Converter-se para o Islã.
background/front-white.png,,,Me cobrir com queijo parmesão e um pouco de pimenta porque sou uma pizza.
background/front-white.png,,,Carinho.
background/front-white.png,,,Gozar dentro do meu melhor amigo.
background/front-white.png,,,As bolas engraçadas do papai.
background/front-white.png,,,Problemas paternos.
background/front-white.png,,,O cinto do papai.
background/front-white.png,,,O cuzão gostoso do Daniel Radcliffe. (Ator do Harry Potter)
background/front-white.png,,,Forças sombrias e misteriosas além do nosso controle.
background/front-white.png,,,Darth Vader.
background/front-white.png,,,David Bowie voando em um tigre feito de raios.
background/front-white.png,,,Bebês mortos.
background/front-white.png,,,Pássaros mortos em todo lugar.
background/front-white.png,,,Pais mortos.
background/front-white.png,,,Desflorar a princesa.
background/front-white.png,,,Negar o aquecimento global.
background/front-white.png,,,Destruir as provas.
background/front-white.png,,,Dedos de pinto.
background/front-white.png,,,Fotos de pau.
background/front-white.png,,,Jantar com recortes de papelão do elenco de Friends.
background/front-white.png,,,Febre da discoteca.
background/front-white.png,,,Diversidade.
background/front-white.png,,,Cometer crimes.
background/front-white.png,,,Fazer isso na bunda.
background/front-white.png,,,Fazer a coisa certa.
background/front-white.png,,,Donald J. Trump.
background/front-white.png,,,Dupla penetração.
background/front-white.png,,,Beber sozinho.
background/front-white.png,,,Bebendo da privada e comendo lixo.
background/front-white.png,,,Afogando as crianças na banheira.
background/front-white.png,,,Dwayne "The Rock" Johnson.
background/front-white.png,,,Morrer sozinho e sofrendo.
background/front-white.png,,,Morrer.
background/front-white.png,,,Comer um ovo cozido que saiu do cu do meu marido.
background/front-white.png,,,Comendo um albino.
background/front-white.png,,,Calcinha comestível.
background/front-white.png,,,Homens japoneses idosos.
background/front-white.png,,,Emergir do mar e destruindo Tóquio.
background/front-white.png,,,Emma Watson.
background/front-white.png,,,Emoções.
background/front-white.png,,,Disfunção erétil.
background/front-white.png,,,Demonstrar autoridade.
background/front-white.png,,,Estrogênio.
background/front-white.png,,,Exatamente o que você esperaria.
background/front-white.png,,,Existir.
background/front-white.png,,,Esperar um arroto e vomitar no chão.
background/front-white.png,,,Explicar como vaginas funcionam.
background/front-white.png,,,Explosões.
background/front-white.png,,,Calça jeans extremamente apertada.
background/front-white.png,,,Facebook.
background/front-white.png,,,Desaparecer no nada.
background/front-white.png,,,Peitos falsos.
background/front-white.png,,,Peidar e sair fora.
background/front-white.png,,,O próprio medo.
background/front-white.png,,,Cagar ardido.
background/front-white.png,,,Encher meu filho de espaguete.
background/front-white.png,,,Pintura a dedo.
background/front-white.png,,,Sexo com o punho.
background/front-white.png,,,Bactérias carnívoras.
background/front-white.png,,,Aves que não voam.
background/front-white.png,,,Robôs voadores que matam pessoas.
background/front-white.png,,,Cobras sexuais voadoras.
background/front-white.png,,,Prepúcio.
background/front-white.png,,,Masculinidade frágil.
background/front-white.png,,,Amostras grátis.
background/front-white.png,,,Fricção.
background/front-white.png,,,Fogo amigo.
background/front-white.png,,,Comer a minha irmã.
background/front-white.png,,,Foder o cara da previsão do tempo ao vivo na TV.
background/front-white.png,,,Nudez frontal completa.
background/front-white.png,,,Gandalf.
background/front-white.png,,,Gandhi.
background/front-white.png,,,Alienígenas gays.
background/front-white.png,,,Super soldados geneticamente modificados.
background/front-white.png,,,Conexão humana genuína.
background/front-white.png,,,Chanceler Alemã Angela Merkel.
background/front-white.png,,,Pornografia alemã de masmorra.
background/front-white.png,,,Ser esmagado por uma máquina de venda automática.
background/front-white.png,,,Levar uma gozada.
background/front-white.png,,,Tirar drogas das ruas e botar pra dentro de mim.
background/front-white.png,,,Ser dedada.
background/front-white.png,,,Ficar doidão.
background/front-white.png,,,Fantasmas.
background/front-white.png,,,Meninas.
background/front-white.png,,,Dar o nascimento ao Anticristo.
background/front-white.png,,,Combate gladiador.
background/front-white.png,,,Buracos da glória.
background/front-white.png,,,Goblins.
background/front-white.png,,,Deus.
background/front-white.png,,,Passar um dia inteiro sem se masturbar.
background/front-white.png,,,Andar por aí socando os outros.
background/front-white.png,,,Vovó.
background/front-white.png,,,As cinzas do vovô.
background/front-white.png,,,Violência gráfica, linguagem adulta e algum conteúdo sexual.
background/front-white.png,,,Roubo de túmulos.
background/front-white.png,,,Harry Potter erótico.
background/front-white.png,,,Ter um pênis.
background/front-white.png,,,Ter ânus no lugar dos olhos.
background/front-white.png,,,Ter grandes sonhos, mas nenhuma maneira realista de alcançá-los.
background/front-white.png,,,Tirar o cabaço.
background/front-white.png,,,Fazer sexo em cima de uma pizza.
background/front-white.png,,,Ter espingardas no lugar das pernas.
background/front-white.png,,,Órfãos comoventes.
background/front-white.png,,,Sua Majestade, a Rainha Elizabeth II.
background/front-white.png,,,Heroína.
background/front-white.png,,,Hipsters.
background/front-white.png,,,Segurar uma criança e peidar em cima dela.
background/front-white.png,,,Mendigos.
background/front-white.png,,,Esperança.
background/front-white.png,,,Acidentes horríveis na depilação a laser.
background/front-white.png,,,Carne de cavalo.
background/front-white.png,,,Queijo quente.
background/front-white.png,,,Gente gostosa.
background/front-white.png,,,Como é incrível estar sob o efeito de cogumelos.
background/front-white.png,,,Como é incrível ser branco.
background/front-white.png,,,Como minha filha fudeu com seu recital de dança.
background/front-white.png,,,Ver até onde consigo enfiar meu pinto no meu rabo.
background/front-white.png,,,Como minha buceta está molhada.
background/front-white.png,,,Bíceps enorme.
background/front-white.png,,,Cantar iodelei inapropriadamente.
background/front-white.png,,,Incesto.
background/front-white.png,,,Solidão indescritível.
background/front-white.png,,,Problemas de intimidade.
background/front-white.png,,,Invadir a Polônia.
background/front-white.png,,,Italianos.
background/front-white.png,,,Buceta pegando fogo.
background/front-white.png,,,Jennifer Lawrence.
background/front-white.png,,,Bater uma numa piscina de crianças chorando.
background/front-white.png,,,Jesus.
background/front-white.png,,,Empregos.
background/front-white.png,,,Julgando a todos.
background/front-white.png,,,Justin Bieber.
background/front-white.png,,,Pilotos Kamikaze.
background/front-white.png,,,Kanye West.
background/front-white.png,,,Keanu Reeves.
background/front-white.png,,,Kim Jong-un.
background/front-white.png,,,Beijar a vovó na testa e desligar os aparelhos.
background/front-white.png,,,Lactação.
background/front-white.png,,,Lady Gaga.
background/front-white.png,,,Minas terrestres.
background/front-white.png,,,Botar um ovo.
background/front-white.png,,,Lepra.
background/front-white.png,,,Decepcionar a todos.
background/front-white.png,,,Subir de nível.
background/front-white.png,,,Lamber as coisas pra chamar de seu.
background/front-white.png,,,Ouvir seus problemas sem tentar resolvê-los.
background/front-white.png,,,Literalmente comer bosta.
background/front-white.png,,,Morar numa lata de lixo.
background/front-white.png,,,Loki, o deus da trapaça.
background/front-white.png,,,Ímãs.
background/front-white.png,,,Fazer um amigo.
background/front-white.png,,,Fazer cara de choro.
background/front-white.png,,,Fazer os pintos beijarem.
background/front-white.png,,,Carne humana.
background/front-white.png,,,Muitos morcegos.
background/front-white.png,,,Masturbando.
background/front-white.png,,,Meu tempo sozinho.
background/front-white.png,,,Eu.
background/front-white.png,,,Memes.
background/front-white.png,,,Homens discutindo seus sentimentos de uma forma emocionalmente saudável.
background/front-white.png,,,Homens.
background/front-white.png,,,Fúria menstrual.
background/front-white.png,,,Metanfetamina.
background/front-white.png,,,Michael Jackson.
background/front-white.png,,,Autismo leve.
background/front-white.png,,,Miley Cyrus.
background/front-white.png,,,Mãe.
background/front-white.png,,,Mugir.
background/front-white.png,,,Ambiguidade moral.
background/front-white.png,,,Uma rola muito maior que eu esperava.
background/front-white.png,,,A voz do Morgan Freeman.
background/front-white.png,,,Herpes bucal.
background/front-white.png,,,Orgasmos múltiplos.
background/front-white.png,,,Múltiplas facadas.
background/front-white.png,,,Assassinato.
background/front-white.png,,,Destruição mútua assegurada.
background/front-white.png,,,Meu namorado abusivo que realmente não é tão ruim assim que você o conhece.
background/front-white.png,,,Minhas bolas na sua cara.
background/front-white.png,,,Meu buraco rosa brilhante.
background/front-white.png,,,Meu marido filho-da-puta que me chifra.
background/front-white.png,,,Minha coleção de brinquedos sexuais japoneses.
background/front-white.png,,,Minha ex-mulher.
background/front-white.png,,,Minha filha gorda.
background/front-white.png,,,Meu pai, que morreu quando eu tinha sete anos.
background/front-white.png,,,Meu primeiro assassinato.
background/front-white.png,,,Minhas genitais.
background/front-white.png,,,Meu bom sutiã.
background/front-white.png,,,Meus demônios internos.
background/front-white.png,,,Meu facão.
background/front-white.png,,,Meu pescoço, minhas costas, minha buceta e meu rêgo.
background/front-white.png,,,Meu estado civil.
background/front-white.png,,,Minha vida sexual.
background/front-white.png,,,Minha alma.
background/front-white.png,,,A minha cara feia e má personalidade.
background/front-white.png,,,Minha buceta.
background/front-white.png,,,Seleção natural.
background/front-white.png,,,Nazistas.
background/front-white.png,,,Necrofilia.
background/front-white.png,,,Nicolas Cage.
background/front-white.png,,,Farol aceso.
background/front-white.png,,,Não contribuir para a sociedade de forma significativa.
background/front-white.png,,,Não transar.
background/front-white.png,,,Sexo oral não recíproco.
background/front-white.png,,,Não vacinar os meus filhos porque sou estúpido.
background/front-white.png,,,Sem calças.
background/front-white.png,,,Nada.
background/front-white.png,,,Movimentos de Nunchaku.
background/front-white.png,,,Cheiro de idoso.
background/front-white.png,,,Música de fundo sinistra.
background/front-white.png,,,Um Anel para a todos governar.
background/front-white.png,,,Uma teta de fora.
background/front-white.png,,,Um trilhão de dólares.
background/front-white.png,,,Oompa-Loompas.
background/front-white.png,,,Oprah.
background/front-white.png,,,Nosso primeiro Presidente chimpanzé.
background/front-white.png,,,Dominar seu pai.
background/front-white.png,,,Pac-Man bebendo porra incontrolavelmente.
background/front-white.png,,,Sexo Panda.
background/front-white.png,,,Post-its passivo-agressivo.
background/front-white.png,,,Mijar um pouquinho.
background/front-white.png,,,Bafo de rola.
background/front-white.png,,,Inveja do pênis.
background/front-white.png,,,Transtorno de cara de orgasmo permanente.
background/front-white.png,,,Fotos de peitos.
background/front-white.png,,,Bukkake pixelado.
background/front-white.png,,,Voilência policial.
background/front-white.png,,,Cagar pra todo lado. Para sempre.
background/front-white.png,,,Cagar em um laptop e fechá-lo.
background/front-white.png,,,Fraldas cagadas.
background/front-white.png,,,Péssimas escolhas de vida.
background/front-white.png,,,Pobres.
background/front-white.png,,,Piadas sobre Holocausto em momentos inoportunos.
background/front-white.png,,,Pobreza.
background/front-white.png,,,Poder.
background/front-white.png,,,Coxas fortes.
background/front-white.png,,,Pré-adolescentes.
background/front-white.png,,,Fingir se importar.
background/front-white.png,,,Transtorno de estresse pós-traumático.
background/front-white.png,,,Puberdade.
background/front-white.png,,,Tirar fora.
background/front-white.png,,,Bombear um bebê a cada nove meses.
background/front-white.png,,,Cachorrinhos!
background/front-white.png,,,Racismo.
background/front-white.png,,,Ataques de raptor.
background/front-white.png,,,Repressão.
background/front-white.png,,,Cavalgada invertida.
background/front-white.png,,,Pessoas ricas.
background/front-white.png,,,Abrir o peito de um homem e arrancar seu coração ainda batendo.
background/front-white.png,,,Ressuscitar.
background/front-white.png,,,Robert Downey Jr.
background/front-white.png,,,RoboCop.
background/front-white.png,,,Correr pelado pelo shopping, mijando e cagando por todo o lado.
background/front-white.png,,,Ficar sem sêmen.
background/front-white.png,,,Ryan Gosling montando em um cavalo branco.
background/front-white.png,,,Samuel L. Jackson.
background/front-white.png,,,Papai Noel.
background/front-white.png,,,Dizer "eu te amo".
background/front-white.png,,,Ciência.
background/front-white.png,,,Cientologia.
background/front-white.png,,,Gritar como louco.
background/front-white.png,,,Cocégas nas bolas.
background/front-white.png,,,Ver a vovó pelada.
background/front-white.png,,,Ver o meu pai chorar.
background/front-white.png,,,Ver o que acontece quando se tranca pessoas numa sala com gaivotas famintas.
background/front-white.png,,,Autoflagelação.
background/front-white.png,,,Auto-aversão.
background/front-white.png,,,Vender crack para crianças.
background/front-white.png,,,Sexo com animais.
background/front-white.png,,,Humilhação sexual.
background/front-white.png,,,Chuva de prata.
background/front-white.png,,,Tensão sexual.
background/front-white.png,,,Lutas de travesseiros sensuais.
background/front-white.png,,,Sacudir um bebê até que ele pare de chorar.
background/front-white.png,,,Poser.
background/front-white.png,,,Objetos brilhantes.
background/front-white.png,,,Se cagar de medo.
background/front-white.png,,,Calar a porra da boca.
background/front-white.png,,,Silêncio.
background/front-white.png,,,Cagar na minha cara e dizer que sou um lixo.
background/front-white.png,,,Bater numa velha racista.
background/front-white.png,,,Massacrar civis inocentes.
background/front-white.png,,,Eslavos.
background/front-white.png,,,Espirrar, peidar e gozar ao mesmo tempo.
background/front-white.png,,,Cheirar cola.
background/front-white.png,,,Sexo papai-mamãe cheio de beijinhos.
background/front-white.png,,,Resolver problemas com violência.
background/front-white.png,,,Um idiota com violão.
background/front-white.png,,,Algum tipo de homem pássaro.
background/front-white.png,,,Uma merda muito grande.
background/front-white.png,,,Sopa que está muito quente.
background/front-white.png,,,Espaguete? De novo?
background/front-white.png,,,Abdominais espectaculares.
background/front-white.png,,,Gastar muito dinheiro.
background/front-white.png,,,Baleias cachalote.
background/front-white.png,,,Combustão humana espontânea.
background/front-white.png,,,Stalin.
background/front-white.png,,,Olhar para uma pintura e a dizer "hmmmmmmm...".
background/front-white.png,,,Stephen Hawking falando sacanagem.
background/front-white.png,,,Ainda ser virgem.
background/front-white.png,,,Síndrome de Estocolmo.
background/front-white.png,,,Personagens femininas fortes.
background/front-white.png,,,Doença de Explosão Súbita de Cocô.
background/front-white.png,,,Pensamentos suicidas.
background/front-white.png,,,Luz do sol e arco-íris.
background/front-white.png,,,Doce, doce vingança.
background/front-white.png,,,Tirar os olhos e bolas de um homem e colocar os olhos no lugar das bolas e depois as bolas nos buracos dos olhos.
background/front-white.png,,,Ensinar um robô a amar.
background/front-white.png,,,Gravidez na adolescência.
background/front-white.png,,,Contar uma história de merda que não dá em nada.
background/front-white.png,,,Pornografia de tentáculos.
background/front-white.png,,,Terroristas.
background/front-white.png,,,Essa bunda.
background/front-white.png,,,O Sonho Americano.
background/front-white.png,,,A chegada da pizza.
background/front-white.png,,,O bebê que arruinou minha buceta.
background/front-white.png,,,O Big Bang.
background/front-white.png,,,A Peste Negra.
background/front-white.png,,,O Sangue de Cristo.
background/front-white.png,,,O bombardeamento de Nagasaki.
background/front-white.png,,,As ereções dos idosos.
background/front-white.png,,,O clitoris.
background/front-white.png,,,O bom e refrescante sabor de Pepsi®.
background/front-white.png,,,O sexo louco e alucinante que seus pais estão fazendo agora.
background/front-white.png,,,O Dalai Lama.
background/front-white.png,,,O próprio Diabo.
background/front-white.png,,,A economia.
background/front-white.png,,,Toda a Internet.
background/front-white.png,,,A flauta.
background/front-white.png,,,A Força.
background/front-white.png,,,Os gays.
background/front-white.png,,,Os Gulags.
background/front-white.png,,,O coração de uma criança.
background/front-white.png,,,Os soluços.
background/front-white.png,,,A Bíblia Sagrada.
background/front-white.png,,,O corpo humano.
background/front-white.png,,,A invevitável morte térmica do Universo.
background/front-white.png,,,Os Judeus.
background/front-white.png,,,A terra do chocolate.
background/front-white.png,,,O leiteiro.
background/front-white.png,,,O milagre do parto.
background/front-white.png,,,A única pessoa gay em cem quilômetros.
background/front-white.png,,,O passado.
background/front-white.png,,,A Patriarca.
background/front-white.png,,,A vida de pirata.
background/front-white.png,,,A placenta.
background/front-white.png,,,O Papa.
background/front-white.png,,,As ameixas que tenho guardado para você nos sovacos.
